class_id,pattern,lex_rank,representative,representative_rank,class_size
2620,38751264,15073,23748165,6283,8
2697,38751426,15074,23846175,6397,8
2617,38751462,15075,23746185,6277,8
2550,38751624,15076,23648175,6163,8
2547,38751642,15077,23647185,6157,8
2700,38752146,15078,23847156,6402,8
2619,38752164,15079,23748156,6282,8
2696,38752416,15080,23846157,6396,8
1360,38752461,15081,14835267,2070,8
2549,38752614,15082,23648157,6162,8
1151,38752641,15083,14625783,1809,8
2693,38754126,15084,23845176,6391,8
2615,38754162,15085,23745186,6271,8
2692,38754216,15086,23845167,6390,4
881,38754261,15087,13845267,1350,8
250,38754612,15088,12645783,393,16
250,38754621,15089,12645783,393,16
2485,38756124,15090,23548176,6043,8
2482,38756142,15091,23547186,6037,8
2484,38756214,15092,23548167,6042,8
857,38756241,15093,13825467,1326,8
103,38756412,15094,12465783,177,16
103,38756421,15095,12465783,177,16
2466,38761245,15096,23487165,5995,8
2448,38761254,15097,23478165,5971,8
2462,38761425,15098,23486175,5989,8
2445,38761452,15099,23476185,5965,8
2436,38761524,15100,23468175,5947,8
2433,38761542,15101,23467185,5941,8
2465,38762145,15102,23487156,5994,8
2447,38762154,15103,23478156,5970,8
2461,38762415,15104,23486157,5988,8
1354,38762451,15105,14832567,2064,8
2435,38762514,15106,23468157,5946,8
1060,38762541,15107,14526783,1689,8
2458,38764125,15108,23485176,5983,8
2443,38764152,15109,23475186,5959,8
2457,38764215,15110,23485167,5982,8
875,38764251,15111,13842567,1344,8
169,38764512,15112,12546783,273,16
169,38764521,15113,12546783,273,16
2426,38765124,15114,23458176,5923,8
2423,38765142,15115,23457186,5917,8
2425,38765214,15116,23458167,5922,8
851,38765241,15117,13824567,1320,8
81,38765412,15118,12456783,153,16
81,38765421,15119,12456783,153,16
6,41235678,15120,12346785,9,32
6,41235687,15121,12346785,9,32
371,41235768,15122,13246785,729,8
2364,41235786,15123,23146785,5769,16
2364,41235867,15124,23146785,5769,16
6,41235876,15125,12346785,9,32
69,41236578,15126,12436785,129,16
69,41236587,15127,12436785,129,16
438,41236758,15128,13428567,858,8
2417,41236785,15129,23418567,5898,4
2413,41236857,15130,23417586,5893,8
2418,41236875,15131,23418576,5899,8
429,41237568,15132,13426785,849,8
2411,41237586,15133,23416857,5890,8
972,41237658,15134,14326785,1569,8
2419,41237685,15135,23418657,5900,8
